"";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Bovins";"671.0";"655.7";"654.3";"646.2";"671.2";"680.4";"685.8";"646.0";"594.5"
"Nord";"432.2";"429.2";"396.9";"385.2";"380.5";"329.9";"348.4";"301.1";"303.4"
"Centre";"375.2";"363.1";"357.3";"347.0";"336.9";"339.1";"339.2";"336.6";"329.3"
"Sud";"488.5";"489.8";"518.3";"542.3";"530.8";"511.9";"511.9";"546.9";"564.3"
"Ovins";"7234.1";"6998.6";"6802.4";"6855.5";"6805.7";"6490.2";"6485.6";"6406.1";"6470.0"
"Nord";"432.2";"429.2";"396.9";"385.2";"380.5";"329.9";"348.4";"301.1";"303.4"
"Centre";"375.2";"363.1";"357.3";"347.0";"336.9";"339.1";"339.2";"336.6";"329.3"
"Sud";"488.5";"489.8";"518.3";"542.3";"530.8";"511.9";"511.9";"546.9";"564.3"
"Caprins";"1295.9";"1282.1";"1272.5";"1274.5";"1248.2";"1162.3";"1199.5";"1184.6";"1197.0"
"Nord";"432.2";"429.2";"396.9";"385.2";"380.5";"329.9";"348.4";"301.1";"303.4"
"Centre";"375.2";"363.1";"357.3";"347.0";"336.9";"339.1";"339.2";"336.6";"329.3"
"Sud";"488.5";"489.8";"518.3";"542.3";"530.8";"511.9";"511.9";"546.9";"564.3"
